Product Name,Description,Size,Price per Unit,Price for 50,Price for 100
Porta Panchos,Porta panchos de cartón resistente. | Presentaciones: Unidad y Bulto (300 unidades). | Bultos: Porta Panchos 300 unidades.,Unidad,1200,,
Porta Panchos,Porta panchos de cartón resistente. | Presentaciones: Unidad y Bulto (300 unidades). | Bultos: Porta Panchos 300 unidades.,Bulto (300 unidades),5000,,
Potes de Helado,"Potes de telgopor expandido ideales para heladerías. | Presentaciones: 1/4 kg, 1/2 kg y 1 kg. | Disponibles en packs de 20 y 100 unidades.",1/4 Kg,,,
Potes de Helado,"Potes de telgopor expandido ideales para heladerías. | Presentaciones: 1/4 kg, 1/2 kg y 1 kg. | Disponibles en packs de 20 y 100 unidades.",1/2 Kg,,,
Potes de Helado,"Potes de telgopor expandido ideales para heladerías. | Presentaciones: 1/4 kg, 1/2 kg y 1 kg. | Disponibles en packs de 20 y 100 unidades.",1 Kg,,,
Arranques Rendidor,"Arranques rendidores de alta calidad, ideales para embalaje y protección de productos.",15x20,1850,,
Arranques Rendidor,"Arranques rendidores de alta calidad, ideales para embalaje y protección de productos.",15x25,2000,,
Arranques Rendidor,"Arranques rendidores de alta calidad, ideales para embalaje y protección de productos.",20x30,2600,,
Arranques Rendidor,"Arranques rendidores de alta calidad, ideales para embalaje y protección de productos.",25x35,3500,,
Arranques Rendidor,"Arranques rendidores de alta calidad, ideales para embalaje y protección de productos.",30x40,4500,,
Arranques Rendidor,"Arranques rendidores de alta calidad, ideales para embalaje y protección de productos.",35x45,3500,,
Arranques Rendidor,"Arranques rendidores de alta calidad, ideales para embalaje y protección de productos.",40x50,4000,,
Bolsas de Residuo,"Bolsas resistentes para residuos de todo tipo. | Ideales para uso doméstico, comercial e industrial. | Se presentan por paquete o bulto (10 paquetes).",45x60,,,
Bolsas de Residuo,"Bolsas resistentes para residuos de todo tipo. | Ideales para uso doméstico, comercial e industrial. | Se presentan por paquete o bulto (10 paquetes).",50x70,,,
Bolsas de Residuo,"Bolsas resistentes para residuos de todo tipo. | Ideales para uso doméstico, comercial e industrial. | Se presentan por paquete o bulto (10 paquetes).",60x90,,,
Bolsas de Residuo,"Bolsas resistentes para residuos de todo tipo. | Ideales para uso doméstico, comercial e industrial. | Se presentan por paquete o bulto (10 paquetes).",80x110,,,
Bolsas Riñón,"Bolsas tipo riñón resistentes y reutilizables. | Ideales para locales, ferias y comercios. | Disponibles en distintos tamaños. | Se venden por paquete.",15x20,,,
Bolsas Riñón,"Bolsas tipo riñón resistentes y reutilizables. | Ideales para locales, ferias y comercios. | Disponibles en distintos tamaños. | Se venden por paquete.",20x30,,,
Bolsas Riñón,"Bolsas tipo riñón resistentes y reutilizables. | Ideales para locales, ferias y comercios. | Disponibles en distintos tamaños. | Se venden por paquete.",25x35,,,
Bolsas Riñón,"Bolsas tipo riñón resistentes y reutilizables. | Ideales para locales, ferias y comercios. | Disponibles en distintos tamaños. | Se venden por paquete.",30x40,,,
Bolsas Riñón,"Bolsas tipo riñón resistentes y reutilizables. | Ideales para locales, ferias y comercios. | Disponibles en distintos tamaños. | Se venden por paquete.",35x45,,,
Bolsas Riñón,"Bolsas tipo riñón resistentes y reutilizables. | Ideales para locales, ferias y comercios. | Disponibles en distintos tamaños. | Se venden por paquete.",40x50,,,
